customerid,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn
6207-WIOLX,female,0,yes,yes,25,no,no phone service,dsl,yes,yes,yes,no,yes,yes,month-to-month,yes,credit card (automatic),58.6,1502.65,1
8587-XYZSF,male,0,no,no,67,yes,no,dsl,no,no,no,yes,no,no,two year,no,bank transfer (automatic),50.55,3260.1,0
3091-FYHKI,male,0,no,no,1,no,no phone service,dsl,no,no,no,no,no,yes,month-to-month,yes,electronic check,35.45,35.45,1
2372-HWUHI,male,0,no,no,2,yes,no,dsl,no,no,no,no,no,no,month-to-month,no,electronic check,44.35,81.25,1
7799-LGRDP,female,0,no,no,43,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,credit card (automatic),25.7,1188.2,0
7850-VWJUU,female,0,no,no,23,yes,no,fiber optic,yes,no,no,no,no,no,month-to-month,yes,bank transfer (automatic),75.0,1778.5,0
3774-VBNXY,female,0,yes,yes,64,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,20.2,1277.75,0
6217-KDYWC,male,0,no,yes,57,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,mailed check,19.6,1170.55,0
0390-DCFDQ,female,1,yes,no,1,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,mailed check,70.45,70.45,1
3146-MSEGF,female,1,yes,yes,72,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,yes,credit card (automatic),88.05,6425.65,0
4080-OGPJL,female,0,no,no,8,yes,yes,dsl,yes,no,no,yes,no,yes,month-to-month,no,electronic check,71.15,563.65,1
1095-WGNGG,female,0,yes,no,61,yes,yes,fiber optic,no,yes,no,no,yes,yes,two year,yes,bank transfer (automatic),101.05,5971.25,0
2636-SJDOU,male,0,no,no,64,yes,yes,fiber optic,yes,yes,no,no,no,no,one year,yes,credit card (automatic),84.3,5289.05,0
1131-QQZEB,male,1,yes,no,71,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),23.95,1756.2,0
5716-EZXZN,female,0,yes,yes,65,yes,yes,fiber optic,yes,yes,no,yes,yes,no,two year,yes,credit card (automatic),99.05,6416.7,0
6837-BJYDQ,male,0,no,no,3,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,19.6,61.35,0
2135-RXIHG,male,0,no,no,1,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,electronic check,45.65,45.65,1
6440-DKQGE,male,0,no,yes,30,yes,no,dsl,no,yes,yes,no,yes,no,one year,no,credit card (automatic),64.5,1929.95,0
3466-BYAVD,male,0,yes,yes,15,yes,no,dsl,no,yes,yes,yes,no,yes,month-to-month,yes,mailed check,69.5,1071.4,0
3780-YVMFA,female,0,yes,yes,8,yes,no,dsl,no,no,no,yes,yes,yes,month-to-month,yes,electronic check,68.55,564.35,0
3874-EQOEP,male,0,no,no,7,yes,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,no,mailed check,95.0,655.5,1
1679-JRFBR,female,0,yes,yes,70,yes,yes,fiber optic,yes,yes,yes,no,yes,yes,one year,yes,credit card (automatic),108.15,7930.55,0
9073-ZZIAY,male,0,yes,yes,62,yes,no,dsl,yes,yes,yes,yes,yes,yes,two year,no,electronic check,86.1,5215.25,0
3077-RSNTJ,female,0,yes,yes,6,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,19.7,113.5,0
6551-GNYDG,female,0,yes,yes,14,yes,no,fiber optic,no,no,no,no,no,yes,month-to-month,yes,bank transfer (automatic),80.9,1152.8,0
9167-APMXZ,female,0,no,no,22,yes,yes,fiber optic,no,no,no,no,yes,no,month-to-month,yes,bank transfer (automatic),84.15,1821.95,0
2749-CTKAJ,male,0,yes,yes,22,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,20.15,419.9,0
6371-NZYEG,male,0,yes,yes,16,yes,no,dsl,yes,no,yes,no,yes,no,two year,no,mailed check,64.25,1024.0,0
7554-NEWDD,male,0,no,no,10,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),25.7,251.6,0
8992-VONJD,female,0,no,yes,13,yes,no,dsl,yes,yes,no,no,no,no,month-to-month,yes,electronic check,56.0,764.55,0
0867-MKZVY,female,0,yes,no,20,yes,yes,fiber optic,yes,no,no,no,no,no,month-to-month,no,electronic check,82.4,1592.35,1
4482-EWFMI,female,0,no,no,2,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,69.7,135.2,0
4648-YPBTM,male,0,no,no,53,yes,yes,dsl,no,yes,yes,yes,no,yes,two year,yes,bank transfer (automatic),73.9,3958.25,0
2907-ILJBN,female,0,yes,yes,11,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,20.6,233.9,0
6345-FZOQH,male,0,yes,no,69,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,19.9,1363.45,0
3376-BMGFE,female,0,no,no,4,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,bank transfer (automatic),70.9,273.0,1
5997-OPVFA,male,0,yes,no,72,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,yes,bank transfer (automatic),89.05,6254.45,0
3445-HXXGF,male,1,yes,no,58,no,no phone service,dsl,no,yes,yes,no,no,yes,month-to-month,yes,electronic check,45.3,2651.2,1
1159-WFSGR,female,0,yes,yes,16,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,electronic check,20.4,321.4,0
7654-YWJUF,male,0,yes,no,43,yes,no,fiber optic,yes,no,yes,yes,no,no,one year,yes,bank transfer (automatic),84.25,3539.25,0
1875-QIVME,female,0,yes,no,2,yes,yes,fiber optic,no,no,yes,yes,yes,yes,month-to-month,yes,electronic check,104.4,242.8,1
6727-IOTLZ,male,0,yes,no,14,yes,no,dsl,no,yes,yes,yes,yes,yes,two year,no,mailed check,81.95,1181.75,0
0691-JVSYA,female,0,yes,no,53,yes,no,fiber optic,no,no,yes,no,yes,yes,one year,yes,bank transfer (automatic),94.85,5000.2,1
5918-VUKWP,female,0,no,no,32,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,bank transfer (automatic),20.55,654.55,0
1744-JHKYS,female,0,yes,no,34,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,electronic check,24.7,780.2,0
2656-FMOKZ,female,1,no,no,15,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,mailed check,74.45,1145.7,1
2070-FNEXE,female,1,no,no,7,yes,no,fiber optic,yes,no,no,no,no,no,month-to-month,no,bank transfer (automatic),76.45,503.6,1
5947-SGKCL,female,0,yes,yes,15,yes,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,yes,bank transfer (automatic),105.35,1559.25,0
3712-PKXZA,male,0,yes,no,61,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,credit card (automatic),20.55,1252.0,0
6317-YPKDH,female,0,no,no,1,no,no phone service,dsl,no,yes,no,no,no,no,month-to-month,no,bank transfer (automatic),29.95,29.95,1
6582-OIVSP,female,0,no,no,1,yes,no,dsl,no,no,no,no,no,no,month-to-month,no,mailed check,45.3,45.3,0
9367-WXLCH,male,0,no,no,8,yes,yes,fiber optic,no,no,no,no,no,yes,month-to-month,no,bank transfer (automatic),84.5,662.65,1
5524-KHNJP,male,0,yes,yes,33,yes,no,dsl,yes,no,yes,no,yes,yes,one year,no,credit card (automatic),74.75,2453.3,0
1918-ZBFQJ,female,0,no,no,13,yes,no,fiber optic,no,yes,yes,no,no,no,month-to-month,yes,electronic check,79.25,1111.65,1
1024-GUALD,female,0,yes,no,1,no,no phone service,dsl,no,no,no,no,no,no,month-to-month,yes,electronic check,24.8,24.8,1
4827-USJHP,male,0,no,no,20,yes,no,dsl,no,yes,no,no,no,no,month-to-month,yes,mailed check,51.8,1023.85,0
8167-GJLRN,male,0,no,no,3,no,no phone service,dsl,no,no,no,yes,no,no,month-to-month,no,electronic check,30.4,82.15,0
0956-SYCWG,female,0,no,no,13,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,electronic check,19.65,244.8,0
8017-UVSZU,female,0,yes,no,40,yes,yes,dsl,no,yes,no,no,no,no,month-to-month,no,credit card (automatic),56.6,2379.1,0
