customerid,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn
6203-HBZPA,male,0,no,no,52,no,no phone service,dsl,yes,yes,yes,yes,yes,yes,two year,no,credit card (automatic),63.9,3334.95,0
3908-MKIMJ,male,1,yes,no,68,no,no phone service,dsl,yes,yes,yes,no,no,no,two year,yes,electronic check,41.95,2965.75,0
5206-XZZQI,male,0,no,no,53,yes,no,fiber optic,no,yes,no,yes,no,no,month-to-month,yes,mailed check,80.6,4348.1,0
5231-FIQPA,female,0,no,no,41,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,mailed check,19.85,810.45,0
7760-OYPDY,female,0,no,no,2,yes,no,fiber optic,no,no,no,no,yes,no,month-to-month,yes,electronic check,80.65,144.15,1
2718-YSKCS,male,0,yes,yes,71,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,bank transfer (automatic),19.6,1387.45,0
5624-RYAMH,female,0,no,no,9,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,electronic check,19.5,178.85,0
8231-BSWXX,male,0,no,no,71,yes,yes,fiber optic,no,yes,no,no,no,no,one year,yes,credit card (automatic),79.05,5552.5,0
4110-PFEUZ,female,0,no,no,1,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,no,mailed check,69.55,69.55,1
8540-ZQGEA,female,0,yes,no,54,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),20.05,1102.4,0
6916-HIJSE,female,0,no,no,65,yes,no,dsl,yes,yes,yes,yes,yes,yes,two year,yes,bank transfer (automatic),84.85,5459.2,0
3352-RICWQ,female,0,yes,yes,9,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,19.75,210.65,0
0584-BJQGZ,female,0,no,no,25,yes,yes,dsl,yes,yes,yes,yes,yes,no,month-to-month,yes,bank transfer (automatic),78.35,1837.9,0
7134-HBPBS,female,1,no,no,72,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,two year,yes,bank transfer (automatic),108.1,7774.05,0
4837-QUSFT,female,0,yes,no,65,yes,yes,fiber optic,yes,yes,no,yes,yes,no,one year,yes,bank transfer (automatic),100.15,6643.5,0
2842-JTCCU,male,0,no,no,2,yes,no,dsl,no,no,no,no,no,no,month-to-month,no,bank transfer (automatic),46.05,80.35,1
5989-OMNJE,female,0,yes,yes,24,no,no phone service,dsl,yes,yes,yes,no,yes,yes,one year,no,electronic check,57.6,1367.75,0
9426-SXNHE,female,0,no,no,2,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,bank transfer (automatic),18.75,53.15,0
3620-EHIMZ,female,0,yes,yes,52,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,19.35,1031.7,0
2978-XXSOG,female,0,no,no,22,yes,yes,dsl,yes,no,no,yes,no,no,month-to-month,yes,mailed check,59.05,1253.5,0
1401-FTHFQ,male,0,yes,yes,23,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,credit card (automatic),20.0,445.3,0
5180-UCIIQ,male,1,yes,yes,22,no,no phone service,dsl,yes,no,no,no,no,yes,month-to-month,no,mailed check,40.05,880.2,1
8461-EFQYM,female,0,no,no,38,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,electronic check,24.25,914.4,0
3758-CKOQL,female,0,yes,no,59,yes,yes,fiber optic,yes,yes,yes,yes,no,yes,one year,yes,credit card (automatic),107.0,6152.3,0
8799-OXZMD,female,0,no,no,28,no,no phone service,dsl,no,no,yes,no,no,no,month-to-month,yes,mailed check,29.75,790.7,0
7501-VTYLJ,female,0,no,yes,2,yes,no,dsl,no,yes,no,no,no,no,month-to-month,no,mailed check,51.55,106.2,0
2275-RBYQS,female,0,no,no,1,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,mailed check,45.4,45.4,0
3325-FUYCG,male,0,yes,yes,28,yes,yes,fiber optic,yes,yes,no,no,yes,yes,one year,no,electronic check,106.1,2847.4,1
6953-PBDIN,male,0,yes,no,70,yes,yes,dsl,no,yes,yes,yes,yes,no,two year,no,bank transfer (automatic),72.95,5265.55,0
2108-YKQTY,female,0,no,no,4,yes,no,dsl,no,yes,no,no,no,no,month-to-month,no,credit card (automatic),50.7,151.3,1
4510-PYUSH,female,1,no,no,38,yes,no,dsl,yes,yes,no,no,no,no,month-to-month,yes,credit card (automatic),57.15,2250.65,1
5447-WZAFP,female,0,no,no,53,yes,no,fiber optic,no,yes,yes,no,yes,yes,one year,yes,mailed check,100.3,5200.8,0
8417-FMLZI,male,0,yes,yes,6,yes,no,fiber optic,no,yes,no,no,no,yes,month-to-month,yes,credit card (automatic),83.55,477.55,1
0641-EVBOJ,male,0,no,no,3,yes,no,fiber optic,yes,no,no,yes,no,no,month-to-month,yes,mailed check,82.3,214.4,0
4933-BSAIP,female,0,yes,no,40,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,19.1,780.1,0
7971-HLVXI,male,0,yes,yes,72,yes,yes,fiber optic,no,no,no,no,no,yes,two year,yes,credit card (automatic),84.5,6130.85,0
6901-GOGZG,male,0,no,yes,60,yes,yes,dsl,yes,no,yes,yes,yes,yes,two year,yes,electronic check,84.95,4984.85,0
8050-XGRVL,female,0,yes,yes,62,yes,no,dsl,yes,no,yes,no,no,no,one year,no,credit card (automatic),54.75,3425.35,0
5376-DEQCP,female,0,no,no,1,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,70.6,70.6,1
3841-NFECX,female,1,yes,no,71,yes,yes,fiber optic,yes,yes,yes,yes,no,no,two year,yes,credit card (automatic),96.35,6766.95,0
2039-JONDJ,male,0,no,no,27,yes,no,dsl,yes,yes,no,no,no,no,one year,no,bank transfer (automatic),55.45,1477.65,0
0002-ORFBO,female,0,yes,yes,9,yes,no,dsl,no,yes,no,yes,yes,no,one year,yes,mailed check,65.6,593.3,0
3873-WOSBC,male,0,yes,no,67,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),25.6,1784.9,0
8241-JUIQO,female,0,no,no,61,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,bank transfer (automatic),19.45,1336.35,0
2607-FBDFF,male,0,no,no,1,yes,no,dsl,no,no,no,yes,no,no,month-to-month,no,credit card (automatic),49.0,49.0,0
9972-NKTFD,female,0,no,no,28,yes,no,dsl,no,yes,no,yes,no,no,month-to-month,no,bank transfer (automatic),54.65,1517.5,0
5985-TBABQ,female,0,no,no,32,yes,yes,dsl,yes,no,no,no,yes,yes,one year,no,mailed check,74.75,2282.95,0
2077-DDHJK,female,0,yes,no,68,yes,yes,dsl,yes,yes,yes,yes,no,no,two year,no,credit card (automatic),70.9,4911.35,0
5448-VWNAM,female,0,no,yes,19,yes,yes,dsl,yes,yes,no,yes,yes,no,month-to-month,yes,mailed check,75.9,1375.6,0
4112-LUEIZ,male,0,no,no,10,yes,no,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,electronic check,89.5,863.1,1
7241-AJHFS,male,0,no,no,32,yes,yes,fiber optic,yes,no,no,yes,no,no,month-to-month,no,bank transfer (automatic),87.65,2766.4,0
9944-HKVVB,female,0,no,no,3,yes,no,fiber optic,no,yes,no,no,yes,yes,month-to-month,yes,electronic check,95.1,307.4,1
3194-ORPIK,female,0,yes,yes,50,yes,yes,fiber optic,no,no,no,no,yes,no,month-to-month,yes,bank transfer (automatic),84.4,4116.15,1
0781-LKXBR,male,1,no,no,9,yes,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,yes,electronic check,100.5,918.6,1
1335-MXCSE,male,0,yes,yes,55,yes,no,dsl,no,no,yes,yes,no,no,two year,yes,credit card (automatic),55.25,3119.9,0
2848-YXSMW,male,0,yes,yes,72,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),19.4,1363.25,0
0970-QXPXW,female,0,no,no,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,19.65,19.65,0
7601-DHFWZ,female,0,no,no,48,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),24.0,1183.05,0
4277-PVRAN,female,0,no,no,8,yes,no,fiber optic,no,no,no,no,yes,no,month-to-month,yes,bank transfer (automatic),80.1,679.3,1
8361-LTMKD,male,1,yes,no,4,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,mailed check,74.4,306.6,1
7248-VZQLC,female,1,no,no,47,yes,yes,fiber optic,no,yes,yes,no,no,no,month-to-month,yes,bank transfer (automatic),85.2,3969.35,1
3295-YVUSR,male,1,no,no,2,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,mailed check,72.6,154.3,0
5701-SVCWR,female,0,no,yes,1,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,24.0,24.0,0
6365-MTGZX,male,0,no,no,24,yes,no,fiber optic,no,no,no,yes,yes,yes,month-to-month,yes,electronic check,96.0,2122.45,1
3745-HRPHI,male,0,yes,yes,66,no,no phone service,dsl,no,no,yes,yes,yes,yes,two year,no,bank transfer (automatic),54.65,3632.0,0
5125-CNDSP,male,0,no,yes,63,no,no phone service,dsl,yes,yes,no,yes,no,no,one year,yes,bank transfer (automatic),40.6,2588.95,0
4501-EQDRN,female,0,no,no,1,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,no,bank transfer (automatic),69.7,69.7,1
1640-PLFMP,female,0,no,no,1,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,70.25,70.25,0
8441-SHIPE,female,0,no,no,67,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,bank transfer (automatic),25.6,1790.35,0
8750-QWZAJ,female,0,yes,yes,70,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),19.8,1378.75,0
7321-KKSDU,male,0,no,yes,32,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,20.5,696.8,0
9742-XOKTS,male,0,yes,yes,67,yes,yes,fiber optic,yes,yes,no,yes,no,no,one year,no,electronic check,89.55,6038.55,0
4774-HHGGS,male,0,yes,no,30,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,19.05,637.55,0
9108-EJFJP,female,0,yes,no,1,yes,no,dsl,yes,yes,no,no,no,no,month-to-month,yes,mailed check,53.55,53.55,0
6924-TDGMT,male,0,yes,no,11,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,mailed check,20.55,184.95,0
6195-MELTI,male,0,no,no,57,yes,no,dsl,no,yes,no,yes,no,no,one year,yes,mailed check,54.65,3134.7,0
3913-FCUUW,female,0,yes,yes,72,yes,yes,dsl,yes,yes,yes,yes,no,no,two year,yes,bank transfer (automatic),70.45,5165.7,0
0917-EZOLA,male,1,yes,no,72,yes,yes,fiber optic,no,yes,yes,no,yes,yes,two year,yes,bank transfer (automatic),104.15,7689.95,1
3500-NSDOA,male,0,yes,yes,68,yes,yes,dsl,no,yes,no,yes,no,yes,two year,no,credit card (automatic),70.8,4859.95,0
0716-BQNDX,male,1,no,no,57,yes,yes,fiber optic,yes,no,no,yes,no,yes,two year,no,electronic check,93.75,5625.55,0
9701-CDXHR,female,0,yes,no,51,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,no,mailed check,69.15,3649.6,0
2789-HQBOU,male,0,no,no,3,yes,no,fiber optic,no,no,no,no,no,yes,month-to-month,yes,electronic check,80.35,253.8,0
8747-UDCOI,female,0,yes,no,65,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),19.35,1319.95,0
1386-ZIKUV,male,0,no,no,7,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,mailed check,18.95,130.55,0
2800-QQUSO,male,0,no,no,42,yes,yes,fiber optic,no,no,no,yes,yes,yes,month-to-month,yes,electronic check,100.3,4222.95,0
1930-BZLHI,male,0,no,no,21,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,mailed check,20.35,422.7,0
9444-JTXHZ,male,0,yes,no,1,yes,no,fiber optic,no,no,yes,no,no,no,month-to-month,no,electronic check,76.2,76.2,1
8908-NMQTX,male,0,no,no,72,no,no phone service,dsl,yes,yes,yes,yes,yes,yes,two year,yes,bank transfer (automatic),65.6,4566.5,0
5759-RCVCB,female,0,no,no,3,no,no phone service,dsl,no,no,no,no,yes,no,month-to-month,no,credit card (automatic),35.2,108.95,1
3884-UEBXB,female,0,yes,yes,67,no,no phone service,dsl,yes,yes,no,no,no,no,two year,no,bank transfer (automatic),36.15,2434.45,0
5494-HECPR,female,0,no,no,1,yes,no,fiber optic,no,no,no,no,yes,no,month-to-month,yes,electronic check,80.25,80.25,1
4285-GYRQC,female,0,yes,no,7,yes,no,fiber optic,no,no,yes,no,yes,no,month-to-month,yes,electronic check,86.25,587.1,1
5893-PYOLZ,male,0,no,no,56,yes,no,dsl,no,yes,yes,yes,yes,yes,two year,yes,credit card (automatic),81.8,4534.45,0
6322-PJJDJ,male,0,yes,no,49,yes,no,fiber optic,no,yes,no,no,yes,yes,two year,yes,electronic check,94.8,4690.65,0
6339-DKLMK,female,0,no,no,13,no,no phone service,dsl,no,yes,no,no,no,no,month-to-month,yes,electronic check,31.65,389.95,0
9603-OAIHC,male,1,no,no,1,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,70.05,70.05,0
6075-SLNIL,male,0,no,no,38,yes,yes,fiber optic,no,yes,yes,no,no,yes,month-to-month,yes,credit card (automatic),95.1,3691.2,0
2307-FYNNL,male,1,no,no,65,yes,yes,fiber optic,yes,no,yes,yes,yes,yes,two year,yes,electronic check,109.05,7108.2,0
9650-VBUOG,male,0,yes,yes,38,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),25.05,963.95,0
6266-QHOJZ,female,0,no,no,65,yes,yes,fiber optic,yes,yes,no,yes,no,no,one year,yes,electronic check,89.85,5844.65,0
1088-CNNKB,male,0,yes,no,63,yes,yes,dsl,yes,yes,yes,yes,no,yes,one year,no,credit card (automatic),80.0,5040.2,0
2469-DTSGX,female,1,no,no,72,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,two year,no,electronic check,111.65,7943.45,0
1685-BQULA,female,0,no,no,40,yes,yes,fiber optic,no,yes,yes,no,yes,no,month-to-month,yes,bank transfer (automatic),93.4,3756.4,0
9625-QSTYE,female,0,no,no,13,yes,no,fiber optic,no,yes,yes,no,no,no,month-to-month,yes,electronic check,81.15,952.3,1
8203-XJZRC,male,0,no,no,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,20.25,20.25,0
3486-NPGST,female,0,no,no,36,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,19.55,620.75,0
8622-ZLFKO,female,0,yes,no,6,yes,yes,fiber optic,no,yes,no,no,no,yes,month-to-month,yes,electronic check,90.75,512.25,0
8417-GSODA,male,0,yes,yes,28,yes,yes,fiber optic,no,no,no,no,yes,yes,one year,no,bank transfer (automatic),92.2,2568.15,0
1393-IMKZG,female,0,no,no,1,yes,no,fiber optic,no,no,no,yes,yes,yes,month-to-month,yes,electronic check,95.85,95.85,0
9904-EHEVJ,female,1,yes,yes,32,yes,yes,fiber optic,no,no,yes,no,yes,no,month-to-month,yes,mailed check,91.35,2896.55,0
6051-PTVNS,female,0,yes,yes,55,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,credit card (automatic),19.15,998.1,0
9822-BIIGN,male,0,yes,yes,53,yes,yes,dsl,yes,no,no,yes,no,yes,month-to-month,no,electronic check,71.85,3827.9,0
8091-TTVAX,male,0,yes,no,58,yes,yes,fiber optic,no,no,yes,no,yes,yes,one year,no,credit card (automatic),100.35,5681.1,0
3696-XRIEN,female,0,no,no,50,yes,yes,dsl,yes,no,yes,yes,yes,yes,one year,yes,credit card (automatic),82.5,4179.1,0
9190-MFJLN,male,1,no,no,19,yes,no,fiber optic,no,no,yes,no,yes,yes,month-to-month,yes,credit card (automatic),95.9,1777.9,1
4548-SDBKE,female,0,no,no,5,yes,yes,fiber optic,no,no,no,no,yes,no,month-to-month,yes,electronic check,85.2,474.8,1
5144-PQCDZ,male,0,no,no,4,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,mailed check,19.95,59.25,0
4950-BDEUX,male,0,no,no,35,no,no phone service,dsl,no,no,yes,no,yes,yes,month-to-month,no,electronic check,49.2,1701.65,0
4565-NLZBV,female,0,yes,no,71,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,bank transfer (automatic),24.65,1710.15,0
6629-LADHQ,female,0,no,no,2,yes,no,dsl,yes,no,no,no,no,no,month-to-month,no,mailed check,50.95,123.05,0
2133-TSRRM,female,0,no,yes,34,yes,no,fiber optic,yes,yes,yes,no,yes,yes,month-to-month,yes,bank transfer (automatic),105.35,3688.6,0
3551-HUAZH,male,1,no,no,1,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,74.4,74.4,1
0519-DRGTI,female,0,yes,yes,20,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,20.35,442.6,0
0611-DFXKO,male,0,yes,no,20,yes,no,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,mailed check,89.0,1820.45,1
4893-GYUJU,female,0,no,no,50,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,mailed check,19.35,1033.0,0
4160-AMJTL,female,1,no,no,8,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,electronic check,19.65,164.3,1
6878-GGDWG,female,0,yes,no,32,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,bank transfer (automatic),19.4,641.15,0
9688-YGXVR,female,0,no,no,44,yes,no,fiber optic,no,yes,yes,no,yes,no,month-to-month,yes,credit card (automatic),88.15,3973.2,0
3441-CGZJH,female,0,yes,yes,43,no,no phone service,dsl,yes,no,yes,yes,yes,yes,one year,yes,credit card (automatic),60.4,2640.55,0
3621-CEOVK,female,1,yes,no,14,yes,yes,fiber optic,no,yes,no,no,yes,yes,month-to-month,yes,electronic check,100.2,1369.8,1
3452-SRFEG,male,0,no,no,49,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,bank transfer (automatic),74.6,3720.35,0
1732-VHUBQ,female,1,yes,yes,47,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,no,bank transfer (automatic),70.55,3309.25,1
7315-WYOAW,male,0,no,no,13,yes,yes,fiber optic,no,no,no,yes,yes,yes,month-to-month,no,electronic check,100.75,1313.25,0
0795-GMVQO,male,0,yes,no,67,yes,yes,fiber optic,yes,yes,yes,no,yes,yes,one year,no,credit card (automatic),109.9,7332.4,0
4188-FRABG,male,0,yes,no,57,yes,yes,fiber optic,yes,yes,yes,yes,yes,no,month-to-month,yes,electronic check,103.05,5925.75,0
4238-JSSWH,female,1,yes,no,35,yes,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,no,bank transfer (automatic),102.05,3452.55,0
1215-EXRMO,male,0,yes,no,50,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,20.55,1067.65,0
7025-WCBNE,male,1,no,no,47,yes,yes,dsl,no,yes,no,yes,no,no,two year,no,bank transfer (automatic),59.6,2754.0,0
5899-OUVKV,male,0,no,no,31,yes,no,fiber optic,no,yes,no,no,yes,yes,month-to-month,yes,electronic check,94.5,2979.2,0
9722-UJOJR,male,0,yes,yes,29,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,70.75,1974.8,1
6211-WWLTF,male,0,yes,no,63,yes,no,fiber optic,yes,no,yes,no,yes,yes,two year,no,credit card (automatic),99.7,6330.4,0
4137-JOPHL,female,0,no,no,50,yes,no,fiber optic,no,no,yes,yes,no,yes,two year,yes,bank transfer (automatic),89.7,4304.5,0
6368-NWMCE,female,0,no,no,38,yes,yes,dsl,no,yes,no,yes,no,yes,month-to-month,no,credit card (automatic),68.15,2656.3,0
1309-BXVOQ,male,0,yes,no,21,yes,yes,fiber optic,no,no,yes,yes,yes,yes,month-to-month,yes,electronic check,106.1,2249.95,1
5583-SXDAG,male,0,yes,no,1,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,no,electronic check,70.0,70.0,1
3768-VHXQO,male,0,yes,no,67,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),24.85,1583.5,0
3086-RUCRN,female,0,no,no,66,yes,yes,fiber optic,yes,yes,yes,yes,no,yes,month-to-month,yes,bank transfer (automatic),103.1,6595.0,0
4439-JMPMT,female,0,yes,yes,5,yes,no,fiber optic,no,no,no,yes,yes,no,month-to-month,yes,electronic check,85.75,470.95,1
9795-VOWON,male,0,no,no,7,no,no phone service,dsl,no,no,no,no,no,no,one year,yes,credit card (automatic),24.35,150.85,0
9065-ZCPQX,male,0,yes,no,72,yes,yes,dsl,yes,yes,yes,yes,no,yes,two year,no,bank transfer (automatic),78.85,5763.15,0
2642-MAWLJ,female,0,yes,yes,36,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),20.25,717.95,0
7610-TVOPG,male,0,no,no,15,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,electronic check,26.35,378.6,0
8143-ETQTI,female,0,yes,yes,23,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,mailed check,19.65,451.55,0
0274-JKUJR,male,0,yes,yes,7,no,no phone service,dsl,yes,yes,yes,no,yes,yes,month-to-month,no,mailed check,58.85,465.7,0
7766-CLTIC,female,0,no,no,10,yes,no,dsl,no,no,no,yes,no,yes,month-to-month,yes,mailed check,60.95,629.55,0
7690-KPNCU,male,0,yes,yes,64,yes,no,dsl,yes,no,yes,no,yes,yes,one year,yes,credit card (automatic),73.05,4688.65,0
3489-VSFRD,female,0,no,no,56,yes,no,dsl,yes,no,yes,yes,no,no,one year,yes,credit card (automatic),60.25,3282.75,0
4057-FKCZK,male,0,yes,yes,58,yes,yes,fiber optic,no,no,no,no,yes,no,two year,no,bank transfer (automatic),82.5,4828.05,0
2309-OSFEU,male,0,no,no,10,no,no phone service,dsl,no,no,no,no,no,yes,month-to-month,yes,mailed check,33.9,298.45,1
9541-PWTWO,female,0,no,no,52,yes,yes,dsl,no,no,yes,yes,yes,yes,two year,yes,bank transfer (automatic),80.95,4233.95,0
2506-CLAKW,female,0,no,no,6,yes,no,fiber optic,yes,yes,yes,yes,no,yes,month-to-month,yes,bank transfer (automatic),98.15,567.45,1
6898-RBTLU,female,0,yes,yes,49,yes,yes,dsl,no,yes,no,yes,yes,yes,two year,no,bank transfer (automatic),79.3,3902.45,0
5939-XAIXZ,female,0,no,no,19,yes,yes,dsl,no,no,yes,no,no,no,month-to-month,yes,mailed check,56.1,1033.9,0
0268-QKIWO,female,0,no,no,3,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,electronic check,19.75,58.85,1
9317-WZPGV,female,1,no,no,2,yes,no,fiber optic,no,no,no,no,no,yes,month-to-month,yes,bank transfer (automatic),79.75,159.4,1
3243-ZHOHY,female,0,no,no,16,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,20.1,296.15,0
0799-DDIHE,female,0,yes,yes,15,yes,no,dsl,no,no,no,no,no,no,month-to-month,no,electronic check,46.3,639.45,0
0877-SDMBN,female,0,no,no,54,yes,yes,fiber optic,yes,no,yes,no,yes,yes,one year,yes,bank transfer (automatic),103.95,5639.05,1
4521-YEEHE,female,0,yes,no,18,yes,yes,fiber optic,no,no,no,yes,yes,no,month-to-month,yes,electronic check,88.85,1594.75,0
7860-UXCRM,male,0,yes,yes,63,yes,no,dsl,yes,yes,yes,yes,yes,no,two year,no,credit card (automatic),74.5,4674.55,0
5003-XZWWO,male,0,yes,no,71,yes,yes,dsl,no,yes,yes,yes,yes,yes,two year,no,credit card (automatic),84.2,5956.85,0
2207-QPJED,female,1,yes,no,37,yes,no,fiber optic,no,no,yes,yes,yes,no,month-to-month,no,electronic check,90.0,3371.75,0
1543-LLLFT,male,1,yes,no,61,yes,yes,fiber optic,no,yes,yes,yes,yes,no,one year,yes,mailed check,98.3,6066.55,0
0378-XSZPU,male,0,yes,no,58,yes,no,dsl,yes,yes,yes,no,no,no,one year,no,credit card (automatic),60.3,3563.8,1
6625-UTXEW,female,0,yes,no,12,yes,no,dsl,no,yes,no,no,no,no,month-to-month,yes,electronic check,51.25,612.1,0
9030-QGZNL,female,0,no,no,8,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,20.85,161.65,0
0019-EFAEP,female,0,no,no,72,yes,yes,fiber optic,yes,yes,yes,no,yes,no,two year,yes,bank transfer (automatic),101.3,7261.25,0
